Matrix,Number of Ones,Time for Apprx,Time for Calc,Calc Perm,Actual Perm,Relative Error
"[[0 0]
 [0 0]]",0,9.560585021972656e-05,1.0728836059570312e-05,0,0.0,inf
"[[0 0]
 [0 2]]",1,9.799003601074219e-05,1.0967254638671875e-05,0,0.0,inf
"[[0 0]
 [2 0]]",1,8.249282836914062e-05,1.1205673217773438e-05,0,0.0,inf
"[[0 0]
 [2 2]]",2,9.751319885253906e-05,1.1444091796875e-05,0,0.0,inf
"[[0 2]
 [0 0]]",1,0.00013136863708496094,1.8835067749023438e-05,0,0.0,inf
"[[0 2]
 [0 2]]",2,0.000102996826171875,1.1444091796875e-05,0,0.0,inf
"[[0 2]
 [2 0]]",2,0.00010943412780761719,1.1920928955078125e-05,1,1.0,0.43342577346658684
"[[0 2]
 [2 2]]",3,9.655952453613281e-05,1.0967254638671875e-05,1,1.0,0.06587702128388873
"[[2 0]
 [0 0]]",1,0.0001556873321533203,1.2159347534179688e-05,0,0.0,inf
"[[2 0]
 [0 2]]",2,0.00010514259338378906,1.0728836059570312e-05,1,1.0,0.43342577346658684
"[[2 0]
 [2 0]]",2,0.00010037422180175781,1.1682510375976562e-05,0,0.0,inf
"[[2 0]
 [2 2]]",3,0.0001583099365234375,2.2172927856445312e-05,1,1.0,0.19943764698354904
"[[2 2]
 [0 0]]",2,9.298324584960938e-05,1.0967254638671875e-05,0,0.0,inf
"[[2 2]
 [0 2]]",3,0.00010061264038085938,1.1205673217773438e-05,1,1.0,0.19943764698354904
"[[2 2]
 [2 0]]",3,9.059906005859375e-05,1.0728836059570312e-05,1,1.0,0.06587702128388873
"[[2 2]
 [2 2]]",4,0.00010919570922851562,1.1444091796875e-05,2,2.0,0.22994578777049213
